Cod partener,Nr.contract,Adresa partener,Contract start,Stare,Contract end,Cod produs,Tip produs,UM,Valuta,Pret contractat,Pret mediu factura,Cantitate facturat total
32098846,1831.1,"…. - Heinrich Pestalozzi, TIMISOARA",19-Apr-2018,Valid,19.04.2021,SGF_288,Marfa,KG,EUR,31.36,24.01,44
4598919,18,"…. - UL PACHE PROTOPOPESCU, SECTOR2",10-Feb-2009,Valid,01.01.2025,SGF_29M,Marfa,Cut,EUR,18.33,14,9
4598919,18,"…. - UL PACHE PROTOPOPESCU, SECTOR2",10-Feb-2009,Valid,01.01.2025,SGF_200.002.017,Marfa,KG,EUR,28,24,2
31391081,1640,"…. -  RED SRL, Poporului, CONSTANTA",26-Jun-2017,Valid,25.06.2020,SGF_29P,Marfa,Cut,EUR,65.19,47.32,34
31391081,1640,"…. -  RED SRL, Poporului, CONSTANTA",26-Jun-2017,Valid,25.06.2020,SGF_358,Marfa,Cut,EUR,19.8,18,1
31391081,1640,"…. -  RED SRL, Poporului, CONSTANTA",26-Jun-2017,Valid,25.06.2020,SGF_29N,Marfa,Cut,EUR,24.09,17.4,1
31391081,1640,"…. -  RED SRL, Poporului, CONSTANTA",26-Jun-2017,Valid,25.06.2020,SGF_29M,Marfa,Cut,EUR,24.09,17.4,5
40136282,2121,"…. -  lucru, Republicii, OTELU ROSU",27-Jul-2020,Valid,31.08.2022,SGF_254,Marfa,KG,EUR,29.03,23.14,6
2008299,2418,"…. - A CETATE, CETATII, TARGU NEAMT",13-Jul-2023,Draft,09.07.2026,SGF_2V1_1990,Marfa,KG,EUR,22,22,6
44284613,2246,"…. - , BULEVARDUL IOAN CUZA, RESITA",11-Feb-2022,Draft,10.02.2025,SGF_29P,Marfa,Cut,EUR,54.98,44.1,8
30118750,1228,"…. - SEDIU CENTRAL, LUNCII, FAGARAS",1-Oct-2015,Valid,19.10.2018,SGF_286_7515,Marfa,KG,EUR,28,22,3
37691932,1892,"…. - FABRICII DE ZAHAR, CLUJ NAPOCA",17-Sep-2018,Valid,19.09.2021,SGF_29P,Marfa,Cut,EUR,54.98,40.3,7
29811965,1315,"…. -  CAFFE, CALEA VICTORIEI, TURDA",18-Mar-2016,Valid,20.03.2019,SGF_288,Marfa,KG,EUR,31.36,24,5
